,survey_id,pack_type,total packs owned,number free,Percent Free,Purchased
570,147,Stuff Packs,9,1,0.1111111111111111,8
571,148,Expansion Packs,4,0,0.0,4
572,148,Kits,1,1,1.0,0
573,148,Stuff Packs,3,3,1.0,0
574,149,Expansion Packs,12,0,0.0,12
575,149,Game Packs,7,1,0.14285714285714285,6
576,149,Kits,4,1,0.25,3
577,149,Stuff Packs,7,3,0.42857142857142855,4
578,150,Expansion Packs,16,0,0.0,16
579,150,Game Packs,12,0,0.0,12
580,150,Kits,26,0,0.0,26
581,150,Stuff Packs,20,0,0.0,20
582,151,Expansion Packs,16,0,0.0,16
583,151,Game Packs,12,0,0.0,12
584,151,Kits,33,0,0.0,33
585,151,Stuff Packs,20,0,0.0,20
586,152,Expansion Packs,16,0,0.0,16
587,152,Game Packs,12,0,0.0,12
588,152,Kits,30,0,0.0,30
589,152,Stuff Packs,20,0,0.0,20
590,153,Expansion Packs,10,0,0.0,10
591,153,Game Packs,5,1,0.2,4
592,153,Kits,6,1,0.16666666666666666,5
593,153,Stuff Packs,10,3,0.3,7
594,154,Expansion Packs,15,0,0.0,15
595,154,Game Packs,12,0,0.0,12
596,154,Kits,7,0,0.0,7
597,154,Stuff Packs,18,0,0.0,18
598,155,Expansion Packs,14,0,0.0,14
599,155,Game Packs,6,1,0.16666666666666666,5
600,155,Kits,10,3,0.3,7
601,155,Stuff Packs,12,5,0.4166666666666667,7
602,156,Expansion Packs,15,0,0.0,15
603,156,Game Packs,8,0,0.0,8
604,156,Kits,14,0,0.0,14
605,156,Stuff Packs,18,0,0.0,18
606,157,Expansion Packs,15,0,0.0,15
607,157,Game Packs,11,0,0.0,11
608,157,Kits,12,2,0.16666666666666666,10
609,157,Stuff Packs,20,0,0.0,20
610,158,Expansion Packs,14,6,0.42857142857142855,8
611,158,Game Packs,8,3,0.375,5
612,158,Kits,20,18,0.9,2
613,158,Stuff Packs,18,15,0.8333333333333334,3
614,159,Expansion Packs,5,0,0.0,5
615,159,Game Packs,2,0,0.0,2
616,159,Kits,1,0,0.0,1
617,159,Stuff Packs,2,0,0.0,2
618,160,Expansion Packs,11,0,0.0,11
619,160,Game Packs,1,0,0.0,1
620,160,Kits,1,1,1.0,0
